name,city,area,class,lat_old,lng_old,lat,lng,tel,address,update_time,memo
嘉義市私立仁友老人長期照顧中心（養護型）,嘉義市,東區,,23.4826499,120.4492234,23.4827394,120.4489816,05-2786604,嘉義市東區北門里8鄰文化路254號之1,42381.66667,
嘉義市私立展順老人長期照護中心,嘉義市,東區,,23.49596004,120.4593441,23.4975369,120.4579607,05-2783023,嘉義市東區頂庄里5鄰義教街585巷33號,42381.66667,
嘉義市私立新仁友老人長期照護中心（養護型）,嘉義市,東區,,23.4825634,120.4494112,23.4842446,120.4645499,05-2786603,嘉義市東區北門里7鄰民權路332巷38號,42381.66667,
嘉義市私立金蓮園老人長期照顧中心（養護型）,嘉義市,東區,,23.49515923,120.4822909,23.4915594,120.469728,05-2741616,嘉義市東區後庄里2鄰林森東路875號,42381.66667,
嘉義市私立梅香園老人長期照顧中心（長照型）,嘉義市,東區,,23.495279,120.4823863,23.4915594,120.469728,05-2741717,嘉義市東區後庄里2鄰林森東路877號,42381.66667,
財團法人嘉義市私立保康社會福利慈善事業基金會附設嘉義市私立保康老人長期照顧中心（長照型）,嘉義市,東區,,23.50687079,120.4501139,23.5056477,120.45049,05-2715565,嘉義市東區後湖里17鄰保順路121號,42381.66667,
嘉義市私立博仁老人養護中心,嘉義市,西區,,23.49193,120.42792,23.4917998,120.4284371,05-2372088,嘉義市西區保安里12鄰北社尾路49號,42381.66667,
嘉義市私立國泰長期照護中心,嘉義市,西區,,23.47288001,120.41333,23.4726942,120.4133997,05-2861126,嘉義市西區港坪里2鄰育人路329號,42381.66667,
嘉義市私立誠泰老人長期照顧中心〈養護型〉,嘉義市,西區,,23.46271001,120.41447,23.4626838,120.4146474,05-2366317,嘉義市西區劉厝里7鄰大賢路148號,42381.66667,
財團法人嘉義市私立瑞泰老人長期照護中心,嘉義市,西區,,23.46928196,120.4144848,23.4685366,120.4144869,05-2352600,嘉義市西區劉厝里30鄰玉山路669號,42381.66667,
嘉義市私立宏仁老人養護中心,嘉義市,東區,,23.51125,120.44327,23.5083829,120.4450306,05-2318756,嘉義市東區荖藤里3鄰荖藤宅28之1號,42381.66667,
財團法人臺灣省私立嘉義博愛仁愛之家,嘉義市,東區,,23.48875,120.46311,23.4886066,120.4630368,05-2762306,嘉義市東區太平里11鄰林森東路235號,42381.66667,
財團法人臺灣省私立嘉義仁愛之家,嘉義市,東區,,23.46714,120.46402,23.4669845,120.4639545,05-2250065,嘉義市東區芳草里1鄰草地尾8號,42381.66667,
財團法人臺灣省私立嘉義濟美仁愛之家,嘉義市,東區,,23.49302,120.48331,23.4931184,120.4830536,05-2766130,嘉義市東區圳頭里3鄰盧義路361號,42381.66667,
嘉義市私立利生養護中心,嘉義市,東區,,23.47406001,120.46322,23.4741054,120.4632236,05-2787057,嘉義市東區短竹里14鄰彌陀路238巷7弄7號,42381.66667,
嘉義市私立東洋老人養護中心,嘉義市,東區,,23.48168,120.48667,23.4816056,120.4859342,05-2761297,嘉義市東區文雅里15鄰文心街119號,42381.66667,
嘉義市私立慈保老人養護中心,嘉義市,東區,,23.47860001,120.47713,23.478244,120.473862,05-2769992,嘉義市東區長竹里11鄰大雅路二段234巷8號,42381.66667,
財團法人雙福社會福利慈善事業基金會附設晨光智能發展中心,嘉義市,東區,,23.50594767,120.4497518,23.5057238,120.449485,05-2759128,嘉義市東區後湖里17鄰忠孝一街98號,42381.66667,日間托育中心
財團法人嘉義市私立嘉愛啟智發展中心,嘉義市,東區,,23.48950935,120.4842445,23.4918793,120.4841201,05-2758350,嘉義市東區圳頭里2鄰盧義路201號,42381.66667,心智障礙教養機構
財團法人創世社會福利基金會附設嘉義市私立創世清寒植物人安養院,嘉義市,西區,,23.48983,120.43602,23.4902306,120.4358058,05-2320578,嘉義市西區保生里6鄰友愛路562號,42381.66667,植物人安養、照顧
嘉義市身心障礙綜合園區-再耕園,嘉義市,西區,,23.47204001,120.42811,23.4722179,120.4280732,05-2852698,嘉義市西區西平里16鄰玉康路160號,42381.66667,多元性身心障礙福利服務、庇護工場
嘉義市身心障礙福利服務中心,嘉義市,西區,,23.46496001,120.43526,23.4643493,120.4352539,05-2834275,嘉義市西區福民里16鄰錦州二街36號,42381.66667,日間托育中心
社團法人嘉義市肢體障礙服務協會,嘉義市,西區,,23.46657001,120.44541,23.4666474,120.4454217,05-2357157,嘉義市西區美源里16鄰民生南路280號,42381.66667,肢體障礙相關福利及諮詢
嘉義市關懷自閉症協會,嘉義市,西區,,23.47553,120.42248,23.4756143,120.4225177,05-2311203,嘉義市西區港坪里14鄰永樂五街24號,42381.66667,自閉症相關福利及諮詢
嘉義市腦性麻痺協會,嘉義市,西區,,23.47204001,120.42811,23.4722179,120.4280732,05-2855669,嘉義市西區西平里16鄰玉康路160號,42381.66667,腦性麻痺相關福利及諮詢
嘉義市脊髓損傷者協會,嘉義市,西區,,23.48253,120.44475,23.482547,120.4428173,05-2161873,嘉義市西區國華里12鄰林森西路364之1號,42381.66667,脊髓損傷人士福利服務及轉介
嘉義市智障福利協進會,嘉義市,東區,,23.49498,120.47892,23.4937994,120.4790523,05-2779139,嘉義市東區後庄里5鄰林森東路707巷76號,42381.66667,職業訓練及智障者福利服務
嘉義市聲暉協進會,嘉義市,西區,,23.46450001,120.43538,23.4643746,120.4355509,05-2854679,嘉義市西區福民里16鄰錦州二街28號,42381.66667,聽障教育訓練、就養就醫、復建等福利諮詢
嘉義市盲人福利協進會,嘉義市,西區,,23.4766,120.44427,23.4762542,120.4422691,05-2291292,嘉義市西區書院里2鄰新榮路225號,42381.66667,福利諮詢、按摩訓練
嘉義市殘障者服務協會,嘉義市,東區,,23.47128009,120.46116,23.4744451,120.4615841,05-2858215,嘉義市東區新開里6鄰體育路2號,42381.66667,身心障礙扶助申請、職業訓練、就業輔導等
嘉義縣愛家反暴力協會,嘉義市,西區,,23.48133,120.4486,23.4814345,120.4482249,,嘉義市西區國華里4鄰國華街228號之8,42381.66667,
社團法人嘉義市桃城婦女權益促進會,嘉義市,西區,,23.45951,120.43837,23.4594259,120.4383422,,嘉義市西區光路里10鄰新民路475巷35號,42381.66667,
嘉義市婦女會,嘉義市,西區,,23.47714,120.43495,23.4772315,120.4350499,,嘉義市西區福全里9鄰北港路65號,42381.66667,
嘉義市婦女聯盟,嘉義市,西區,,23.48710168,120.4245319,23.4884444,120.4257815,,嘉義市西區北湖里17鄰世賢路一段922號附1,42381.66667,
嘉義市新住民家庭服務中心,嘉義市,西區,,23.48418001,120.43314,23.4842261,120.4331141,,嘉義市西區竹圍里23鄰德安路6號,42381.66667,
嘉義市婦女福利服務中心,嘉義市,西區,,23.48418001,120.43314,23.4842261,120.4331141,,嘉義市西區竹圍里23鄰德安路6號,42381.66667,
中華民國婦女福利暨就業協會,嘉義市,東區,,23.48712001,120.46799,23.4871824,120.4678378,,嘉義市東區王田里2鄰五福街131巷9號,42381.66667,
嘉義市社區保母系統,嘉義市,西區,,23.48584,120.43817,23.4858493,120.4379271,,嘉義市西區重興里6鄰北興街328號,42381.66667,
嘉義市褓姆職業工會,嘉義市,東區,,23.46860001,120.4545601,23.4636362,120.4585379,,嘉義市東區安寮里1鄰吳鳳南路177號,42381.66667,
嘉義市展愛社,嘉義市,東區,,23.48185,120.46007,23.4818576,120.4599661,,嘉義市東區東興里3鄰民國路190號,42381.66667,
新移民女性關懷協會,嘉義市,東區,,23.47735,120.45659,23.4774018,120.4565403,,嘉義市東區華南里13鄰文昌街62號,42381.66667,
兒童福利服務中心,嘉義市,東區,,23.4702787,120.4608094,23.470704,120.460624,,嘉義市東區新開里15鄰興業東路555號,42381.66667,
嘉義市東區托育資源中心,嘉義市,東區,,23.4702787,120.4608094,23.470704,120.460624,,嘉義市東區新開里15鄰興業東路555號,42381.66667,
嘉義市西區托育資源中心,嘉義市,西區,,23.48418001,120.43314,23.4842261,120.4331141,,嘉義市西區竹圍里23鄰德安路6號,42381.66667,
財團法人嘉義市私立修緣育幼院,嘉義市,西區,,23.47796001,120.42612,23.4780338,120.4260682,,嘉義市西區西平里10鄰永春二街30號,42381.66667,
財團法人中華兒童福利基金會嘉義家庭扶助中心,嘉義市,西區,,23.49213311,120.4356003,23.4920867,120.4356834,,嘉義市西區保生里7鄰保安四路52號,42381.66667,
台灣世界和平會-兒少關懷中心,嘉義市,東區,,23.47987001,120.45155,23.4799484,120.451594,,嘉義市東區中央里11鄰公明路372號之2,42381.66667,
嘉義市發展遲緩兒童早期療育通報轉介中心,嘉義市,東區,,23.4994,120.45005,23.4994174,120.450168,,嘉義市東區中庄里14鄰忠孝路539號,42381.66667,
財團法人林業生社會福利慈善基金會,嘉義市,西區,,23.48583,120.42491,23.4858189,120.4249583,,嘉義市西區福安里17鄰泰山三街80號,42381.66667,
嘉義市天文協會,嘉義市,東區,,23.4753,120.47149,23.4757583,120.4710475,,嘉義市東區蘭潭里10鄰小雅路419號,42381.66667,
嘉義市希望種子兒童暨少年成長協會,嘉義市,西區,,23.47021001,120.42603,23.470222,120.4260346,,嘉義市西區西平里19鄰玉康路39號,42381.66667,
嘉義市西區家庭福利服務中心,嘉義市,西區,,23.48418001,120.43314,23.4842261,120.4331141,,嘉義市西區竹圍里23鄰德安路6號,42381.66667,
嘉義市東區家庭福利服務中心,嘉義市,東區,,23.4702787,120.4608094,23.470704,120.460624,,嘉義市東區新開里15鄰興業東路555號,42381.66667,
嘉義市青少年福利服務中心,嘉義市,東區,,23.47128009,120.46116,23.4744451,120.4615841,,嘉義市東區新開里6鄰體育路2號,42381.66667,
台灣世界展望會彰雲嘉區嘉義辦公室,嘉義市,西區,,23.4841,120.43392,23.4841644,120.4338557,,嘉義市西區竹圍里22鄰友愛路288號,42381.66667,
財團法人嘉義市基督教社會福利慈善事業基金會,嘉義市,東區,,23.50066001,120.45437,23.500881,120.454822,,嘉義市東區後湖里10鄰保建街30號之10,42381.66667,
財團法人伊甸社會福利基金會-嘉義服務中心,嘉義市,西區,,23.46496001,120.43526,23.4643493,120.4352539,,嘉義市西區福民里16鄰錦州二街36號,42381.66667,
財團法人雙福社會福利慈善事業基金會,嘉義市,西區,,23.49175,120.43346,23.4916812,120.4333999,,嘉義市西區保生里12鄰自由路426號,42381.66667,
嘉義市欣願協會,嘉義市,西區,,23.48823001,120.44213,23.4878936,120.4420425,,嘉義市西區重興里2鄰重興街12巷16號,42381.66667,
嘉義市中華民國基督教約書亞全人關懷協會,嘉義市,東區,,23.47388,120.46085,23.4737112,120.4589887,,嘉義市東區新開里2鄰市宅街12號,42381.66667,
嘉義市父母成長協會,嘉義市,西區,,23.47889,120.43127,23.47891,120.4313911,,嘉義市西區福全里11鄰福義街8號,42381.66667,
台灣社區家庭關懷協會,嘉義市,東區,,23.49404,120.45369,23.4940502,120.453675,,嘉義市東區仁義里7鄰嘉北街86號,42381.66667,
社團法人嘉義市家庭關懷協會,嘉義市,西區,,23.4773,120.42557,23.4773689,120.425598,,嘉義市西區西平里10鄰永春一街101號,42381.66667,
財團法人天主教善牧社會福利基金會-嘉義市單親個管中心,嘉義市,東區,,23.46975,120.46094,23.4698416,120.4608288,,嘉義市東區新開里21鄰興業東路302號,42381.66667,
嘉義市家庭教育中心,嘉義市,東區,,23.48247171,120.4644414,23.4825028,120.4643339,,嘉義市東區東川里19鄰山子頂269號之1,42381.66667,
嘉義市東區東門社區發展協會,嘉義市,東區,,23.47768001,120.45978,23.4777335,120.4597738,05-2237041,嘉義市東區華南里1鄰延平街27號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市東區頂庄社區發展協會,嘉義市,東區,,23.49869,120.4578,23.4986447,120.4580527,05-2772712,嘉義市東區頂庄里11鄰義教街538號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市東區東川社區發展協會,嘉義市,東區,,23.48012001,120.46728,23.4802219,120.4673129,05-2769541,嘉義市東區東川里4鄰公園街87號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市東區新店社區發展協會,嘉義市,東區,,23.49162,120.46469,23.4916544,120.4646737,05-2756290,嘉義市東區新店里7鄰林森東路269巷102弄8號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市嘉北社區關懷協會,嘉義市,東區,,23.49426,120.45471,23.4942197,120.454785,05-2778567,嘉義市東區仁義里15鄰嘉北街66巷19號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市西區福民社區發展協會,嘉義市,西區,,23.46450001,120.43538,23.4643746,120.4355509,05-2369555,嘉義市西區福民里16鄰錦州二街28號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市西區劉厝社區發展協會,嘉義市,西區,,23.46368001,120.41756,23.4636266,120.4182453,05-2850878,嘉義市西區劉厝里17鄰劉厝路131號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市西區磚磘社區發展協會,嘉義市,西區,,23.47545001,120.42719,23.4748917,120.4277075,05-2358371,嘉義市西區磚磘里15鄰大華路36號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市西區下埤社區發展協會,嘉義市,西區,,23.49182001,120.41449,23.49182001,120.41449,0937-354321,嘉義市西區下埤里2鄰頂埤24號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
財團法人雙福社會福利慈善事業基金會-常樂園,嘉義市,西區,,23.47041,120.44094,23.470841,120.45066,05-2348836,嘉義市西區自強里19鄰永安街390巷1號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
財團法人雙福社會福利慈善事業基金會-祈樂園,嘉義市,西區,,23.49175,120.43346,23.4916812,120.4333999,05-2348836,嘉義市西區保生里12鄰自由路426號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市家庭關懷協會,嘉義市,西區,,23.4773,120.42557,23.4773689,120.425598,05-2842782,嘉義市西區西平里10鄰永春一街101號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市展愛社-湖內,嘉義市,西區,,23.45404,120.44074,23.4542817,120.4378053,0922-893883,嘉義市西區湖內里12鄰民生南路840號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
佛光山圓福寺,嘉義市,西區,,23.47974,120.4383,23.479683,120.4383313,05-2325982#8106,嘉義市西區後驛里9鄰博愛路二段241號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市西區育英里辦公處,嘉義市,西區,,23.47106001,120.44837,23.4710696,120.4512798,05-2290166,嘉義市西區育英里11鄰永安街246巷46弄48號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市西區文化社區發展協會,嘉義市,西區,,23.47750001,120.44964,23.4776833,120.4497397,05-2292690,嘉義市西區文化里9鄰文化路81之1號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市西區鳳梨會社社區發展協會,嘉義市,西區,,23.47228001,120.44051,23.4712844,120.4404758,05-2850580,嘉義市西區垂楊里6鄰建成街58巷73號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市希望教育人文協會,嘉義市,西區,,23.4699401,120.43464,23.4700206,120.4345059,05-2360775,嘉義市西區新西里14鄰青年街138號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市西區竹村社區發展協會,嘉義市,西區,,23.49226,120.39662,23.49226,120.39662,0972-310533,嘉義市西區竹村里7鄰北港路1467號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市東區興仁社區發展協會,嘉義市,東區,,23.45576,120.46345,23.4559881,120.4632685,0922-391683,嘉義市東區興仁里1鄰軍輝路47號,42619.66667,提供社區老人關懷訪視、電話問安、諮詢及轉介等服務
嘉義市私立安心老人長期照顧中心（長期照護型）,嘉義市,西區,,,,23.4603572,120.4366387,05-2861654,嘉義市西區湖內里25鄰南京路279號,42843.67559,http://www.lovecare.tw/
嘉義市私立利生老人養護中心,嘉義市,東區,,,,23.4740199,120.4632164,05-2787057,嘉義市東區短竹里14鄰彌陀路238巷7弄5、7、9、11號,42843.67559,https://www.facebook.com/lisencare
