name,city,area,class,lat_old,lng_old,lat,lng,tel,address,address2,update_time,memo
衛生福利部嘉義醫院,嘉義市,西區,西醫,23.4810185,120.4283148,23.4810044,120.4283734,05 2319090,嘉義市西區福全里北港路312號,,2015/7/22 下午 11:03:13,
臺中榮民總醫院嘉義分院,嘉義市,西區,西醫,23.4674154,120.422995,23.4674154,120.422995,05 2359630,嘉義市西區劉厝里世賢路二段600號,,2015/7/22 下午 11:03:13,
仁德醫療社團法人陳仁德醫院,嘉義市,西區,西醫,23.4837011,120.4471099,23.4801883,120.4432069,05-2258279,嘉義市西區番社里林森西路285號,,2015/7/22 下午 11:03:13,
盧亞人醫院,嘉義市,西區,西醫,23.481964,120.447107,23.4821683,120.4475748,05-2248347,嘉義市西區國華里民權路406號,,2015/7/22 上午 11:25:36,
慶昇醫院,嘉義市,西區,西醫,23.4794154,120.444125,23.4800422,120.4440622,05-2229191,嘉義市西區番社里新榮路339、339-1號,,2015/7/22 下午 11:03:13,
安心醫院,嘉義市,西區,西醫,23.4535328,120.4336569,23.4535328,120.4336569,05-2353100,嘉義市西區湖內里新民路88號,,2015/7/22 下午 11:03:13,
世華醫院,嘉義市,西區,西醫,23.4756624,120.4420829,23.4756624,120.4420829,05-2257525,嘉義市西區書院里仁愛路365號,,2015/7/22 下午 11:03:13,
祥太醫院,嘉義市,西區,西醫,23.4758621,120.4400509,23.4758621,120.4400509,05-2230398,嘉義市西區書院里延平街490號 永和街116號,,2015/7/22 下午 11:03:13,
奇威診所,嘉義市,西區,西醫,23.4827856,120.4470051,23.4828355,120.4473375,05-2255901,嘉義市西區國華里長榮街２８２號,,2015/7/22 下午 11:03:13,
柯耳鼻喉科診所,嘉義市,西區,西醫,23.475819,120.4477452,23.4758022,120.4477472,05 2246461,嘉義市西區文化里民族路５３８號,,2015/7/22 下午 11:03:13,
邱內兒科診所,嘉義市,西區,西醫,23.4808195,120.4439981,23.4808724,120.443975,05 2282013,嘉義市西區番社里新榮路２５６號,,2015/7/22 下午 11:03:13,
林昭男家庭醫學科診所,嘉義市,西區,西醫,23.4755185,120.4430205,23.4755185,120.4430205,05 2279558,嘉義市西區書院里民族路７１８號,,2015/7/22 下午 01:16:16,
鄭婦產科診所,嘉義市,西區,西醫,23.4746191,120.4456018,23.4781618,120.4452561,05 2222836,嘉義市西區西榮里西榮街１８９號,,2015/7/22 下午 11:03:13,
嘉良診所,嘉義市,西區,西醫,23.4803964,120.4242401,23.4763647,120.4476425,05 2222827,嘉義市西區西榮里忠義街４５號,,2015/7/22 下午 11:03:13,
弘仁診所,嘉義市,西區,西醫,23.478795,120.4474357,23.4786815,120.4473957,05 2226119,嘉義市西區西榮里忠義街101號,,2015/7/22 下午 11:03:13,
春安診所,嘉義市,西區,西醫,23.461256,120.443631,23.461256,120.443631,05 2854146,嘉義市西區光路里民生南路432號,,2015/7/22 下午 11:03:13,
鴻安診所,嘉義市,西區,西醫,23.4761512,120.4439682,23.4761512,120.4439682,05 2271318,嘉義市西區書院里延平街４０１之１號,,2015/7/22 下午 11:03:13,
張外科皮膚科診所,嘉義市,西區,西醫,23.4803964,120.4242401,23.4795459,120.4462355,05 2233629,嘉義市西區西榮里民生北路220號,,2015/7/22 下午 11:03:13,
羅眼科診所,嘉義市,西區,西醫,23.4750805,120.4397382,23.4751837,120.4405241,05 2242288,嘉義市西區書院里民族路８０４號,,2015/7/22 下午 11:03:13,
黃婦產科診所,嘉義市,西區,西醫,23.4778775,120.4468454,23.4854667,120.4492902,05 2272020,嘉義市西區功科里光彩街４６５號,,2015/7/22 下午 11:03:13,
張文輝診所,嘉義市,西區,西醫,23.4805363,120.4432809,23.4804801,120.4432541,05-2238819,嘉義市西區番社里林森西路４９０號,,2015/7/22 下午 11:03:13,
柳內兒科診所,嘉義市,西區,西醫,23.4876598,120.4468363,23.4876598,120.4468363,05 2325986,嘉義市西區北榮里國華街４１４之１號,,2015/7/22 下午 11:03:13,
蔣天來診所,嘉義市,西區,西醫,23.4789236,120.4485812,23.478921,120.4485626,05 2223350,嘉義市西區文化里國華街１７２號,,2015/7/22 下午 11:03:13,
方克毅神經精神科診所,嘉義市,西區,西醫,23.482592,120.4458784,23.4827589,120.4443682,05-2222371,嘉義市西區榮檜里長榮街２８６號,,2015/7/22 下午 11:03:13,
林海南診所,嘉義市,西區,西醫,23.4745344,120.44463,23.4745473,120.4450645,05 2273185,嘉義市西區新富里康樂街１５７號,,2015/7/22 下午 11:03:13,
洪內兒科診所,嘉義市,西區,西醫,23.4823058,120.4458932,23.4824147,120.4457922,05 2247123,嘉義市西區番社里民生北路２９３號,,2015/7/22 下午 11:03:13,
榮芳內兒科診所,嘉義市,西區,西醫,23.4751588,120.4422334,23.4751391,120.4422158,05 2224712,嘉義市西區書院里仁愛路４４６號,,2015/7/22 下午 11:03:13,
吳眼科診所,嘉義市,西區,西醫,23.4795044,120.4449998,23.4794964,120.4451087,05 2244695,嘉義市西區番社里中山路４１８號,,2015/7/22 下午 11:03:13,
德星耳鼻喉科診所,嘉義市,西區,西醫,23.4821227,120.44867,23.4821489,120.4463133,05 2236025,嘉義市西區國華里民權路３７４號,,2015/7/22 下午 11:03:13,
顏耳鼻喉科診所,嘉義市,西區,西醫,23.4759593,120.4444257,23.4759593,120.4444257,05 2278795,嘉義市西區書院里新榮路１９９號,,2015/7/22 下午 11:03:13,
呂國鎮皮膚科診所,嘉義市,西區,西醫,23.4800743,120.4461534,23.4812018,120.4459552,05 2221459,嘉義市西區番社里民生北路259號1樓,,2015/7/22 下午 11:03:13,
佳寶婦產科診所,嘉義市,西區,西醫,23.4803964,120.4242401,23.4737516,120.4482388,05 2252963,嘉義市西區文化里垂楊路４６６號,,2015/7/22 下午 11:03:13,
陳眼科診所,嘉義市,西區,西醫,23.4800743,120.4461534,23.4816703,120.445979,05 2290013,嘉義市西區番社里民生北路２７９號,,2015/7/22 下午 11:03:13,
江啟生診所,嘉義市,西區,西醫,23.4676325,120.4364557,23.467652,120.4365162,05 2858357,嘉義市西區車店里興業西路３８３號,,2015/7/22 下午 11:03:13,
林俊鵬診所,嘉義市,西區,西醫,23.4926398,120.4424827,23.4926398,120.4424827,05 2322048,嘉義市西區新厝里松江一街２１號,,2015/7/22 下午 11:03:13,
好生診所,嘉義市,西區,西醫,23.4878484,120.4467824,23.4883102,120.4466855,05 2324630,嘉義市西區北榮里國華街４１６號,,2015/7/22 下午 11:03:13,
鍾易晉耳鼻喉科診所,嘉義市,西區,西醫,23.4695394,120.4400818,23.4695394,120.4400818,05 2856506,嘉義市西區自強里新民路７５８號１樓,,2015/7/22 下午 11:03:13,
王伯智皮膚科診所,嘉義市,西區,西醫,23.4805363,120.4432809,23.4803963,120.4431782,05-2276227,嘉義市西區番社里林森西路500號1樓,,2015/7/22 下午 11:03:13,
魏眼科診所,嘉義市,西區,西醫,23.4821763,120.4483338,23.4821763,120.4483338,05 2237889,嘉義市西區國華里民權路３７８號,,2015/7/22 下午 11:03:13,
沈小兒科診所,嘉義市,西區,西醫,23.4820671,120.4480965,23.4821883,120.4483049,05 2250170,嘉義市西區國華里民權路３８０號,,2015/7/22 下午 11:03:13,
佑仁診所,嘉義市,西區,西醫,23.480572,120.434186,23.480572,120.434186,05 2335906,嘉義市西區福全里友愛路１９０號,,2015/7/22 下午 11:03:13,
陳明煌診所,嘉義市,西區,西醫,23.487373,120.435153,23.4875724,120.4349243,05 2337036,嘉義市西區保安里北興街４４２號,,2015/7/22 下午 11:03:13,
黃彬診所,嘉義市,西區,西醫,23.4803964,120.4242401,23.4866116,120.4436907,05 2333380,嘉義市西區慶安里博愛路一段４１１之３號１樓,,2015/7/22 下午 11:03:13,
張百欽家庭醫學科診所,嘉義市,西區,西醫,23.4886882,120.4457995,23.4886882,120.4457995,05 2339555,嘉義市西區湖邊里博愛路一段203號,,2015/7/22 下午 11:03:13,
李英徽耳鼻喉科診所,嘉義市,西區,西醫,23.4703401,120.4473167,23.4703401,120.4473167,05 2255610,嘉義市西區育英里民生南路133號1樓,,2015/7/22 下午 11:03:13,
曾良達診所,嘉義市,西區,西醫,23.4918835,120.4301732,23.4918835,120.4301732,05 2333928,嘉義市西區保安里八德路３３８號,,2015/7/22 下午 11:03:13,
王仁樟皮膚科診所,嘉義市,西區,西醫,23.4732172,120.4469188,23.4732155,120.4469005,05 2293829,嘉義市西區導明里民生南路９號,,2015/7/22 下午 11:03:13,
黃敏宏皮膚科診所,嘉義市,西區,西醫,23.4743487,120.4394423,23.4746474,120.4393998,05-2287079,嘉義市西區永和里新民路９３８號,,2015/7/22 下午 11:03:13,
陳霖生內科診所,嘉義市,西區,西醫,23.4802566,120.4462636,23.4802566,120.4462636,05 2291675,嘉義市西區番社里民生北路238號1樓,,2015/7/22 下午 11:03:13,
育全診所,嘉義市,西區,西醫,23.479632,120.433943,23.4794666,120.4339756,05 2343758,嘉義市西區福全里友愛路１１５號,,2015/7/22 下午 11:03:13,
李建忠眼科診所,嘉義市,西區,西醫,23.4745513,120.4446286,23.4772757,120.4443722,05 2222877,嘉義市西區西榮里新榮路１７８１８０號,,2015/7/22 下午 11:03:13,
民族診所,嘉義市,西區,西醫,23.475274,120.4419031,23.4753791,120.4427588,05 2276008,嘉義市西區書院里民族路７０１號1- 4樓,,2015/7/22 下午 11:03:13,
華嘉診所,嘉義市,西區,西醫,23.4932703,120.4423559,23.4932703,120.4423559,05 2320729,嘉義市西區新厝里松江一街４３號,,2015/7/22 下午 11:03:13,
洪瑞禧診所,嘉義市,西區,西醫,23.4803964,120.4242401,23.4797152,120.4425656,05-2293625,嘉義市西區番社里林森西路五五二號,,2015/7/22 下午 11:03:13,
太和診所,嘉義市,西區,西醫,23.4716622,120.444813,23.4716622,120.444813,05-2222856,嘉義市西區培元里新榮路七五號一樓,,2015/7/22 下午 11:03:13,
邱碩堯耳鼻喉科診所,嘉義市,西區,西醫,23.4733926,120.4442001,23.4737839,120.447459,05-2273115,嘉義市西區新富里垂楊路五OO號,,2015/7/22 下午 11:03:13,
蔡湯鎮眼科診所,嘉義市,西區,西醫,23.4670236,120.4400235,23.4670236,120.4400235,05-2368019,嘉義市西區福民里新民路653號,,2015/7/22 下午 11:03:13,
正安診所,嘉義市,西區,西醫,23.4677929,120.4379324,23.4677761,120.4379348,25-2865278,嘉義市西區車店里興業西路342號1、３樓,,2015/7/22 下午 11:03:13,
羅銓中診所,嘉義市,西區,西醫,23.4800743,120.4461534,23.4775028,120.4464309,05-2222979,嘉義市西區西榮里民生北路89號地下室,,2015/7/22 下午 11:03:13,
戴昌隆皮膚科診所,嘉義市,西區,西醫,23.4797442,120.4379915,23.4787817,120.4373657,05 2339307,嘉義市西區後驛里博愛路二段277號,,2015/7/22 下午 11:03:13,
安生婦產科診所,嘉義市,西區,西醫,23.4788668,120.4466122,23.4787746,120.4454887,05-2223377,嘉義市西區西榮里中正路565號,,2015/7/22 下午 11:03:13,
王國哲診所,嘉義市,西區,西醫,23.4759653,120.4351786,23.4759653,120.4351786,05-2332883,嘉義市西區福全里博愛路二段三五九號一二樓,,2015/7/22 下午 11:03:13,
極緻整形外科診所,嘉義市,西區,西醫,23.466013,120.440546,23.466013,120.440546,05-2852757,嘉義市西區美源里新民路618之2號一樓,,2015/7/22 下午 11:03:13,
盈安診所,嘉義市,西區,西醫,23.4854688,120.4383939,23.4854688,120.4383939,05-2318472,嘉義市西區竹圍里北興街二四五之三號,,2015/7/22 下午 11:03:13,
許維倫診所,嘉義市,西區,西醫,23.46107,120.443526,23.46107,120.443526,05-2868895,嘉義市西區光路里民生南路四三八號一樓,,2015/7/22 下午 11:03:13,
郭育祥診所,嘉義市,西區,西醫,23.4802665,120.4384272,23.4802564,120.438442,05-2338855,嘉義市西區竹圍里博愛路二段240號一樓,,2015/7/22 下午 11:03:13,
吳耳鼻喉科診所,嘉義市,西區,西醫,23.4795239,120.4452083,23.4795096,120.4452334,05 2222258,嘉義市西區番社里中山路406號,,2015/7/22 下午 11:03:13,
信合美診所,嘉義市,西區,西醫,23.468186,120.444086,23.4682822,120.444377,05-2867272,嘉義市西區美源里興業西路87、89號,,2015/7/22 下午 11:03:13,
宏元家庭醫學科診所,嘉義市,西區,西醫,23.4820532,120.4481166,23.4816327,120.4482664,05-2165555,嘉義市西區國華里國華街236號1樓,,2015/7/22 下午 11:03:13,
安泰眼科診所,嘉義市,西區,西醫,23.4762474,120.4422531,23.4762474,120.4422531,05-2282278,嘉義市西區書院里仁愛路482號1、2樓,,2015/7/22 下午 11:03:13,
許銘瑞診所,嘉義市,西區,西醫,23.4740109,120.4394695,23.4746094,120.4394029,05-2227784,嘉義市西區永和里新民路936號1、2樓,,2015/7/22 下午 11:03:13,
德祐眼科診所,嘉義市,西區,西醫,23.4762474,120.4422531,23.4762474,120.4422531,05-2282278,嘉義市西區書院里仁愛路482號1、2樓,,2015/7/22 下午 11:03:13,
慎諭婦產科診所,嘉義市,西區,西醫,23.4701567,120.4471284,23.4701567,120.4471284,05-2253652,嘉義市西區致遠里民生南路118-7號、118-7號2樓,,2015/7/22 下午 11:03:13,
張耿章診所,嘉義市,西區,西醫,23.4685335,120.4387043,23.4683006,120.4388188,05-2851285,嘉義市西區垂楊里新建街2、4號1樓,,2015/7/22 下午 11:03:13,
羅大恩診所,嘉義市,西區,西醫,23.4832238,120.4462475,23.4841862,120.4478673,05-2234829,嘉義市西區國華里林森西路200號1、2樓,,2015/7/22 下午 11:03:13,
六福診所,嘉義市,西區,西醫,23.4675902,120.4378179,23.4675902,120.4378179,05-2853300,嘉義市西區福民里興業西路333號1樓,,2015/7/22 下午 11:03:13,
鄭美蕊婦產科診所,嘉義市,西區,西醫,23.4755129,120.4429748,23.4755129,120.4429748,05-2293396,嘉義市西區書院里民族路720號1樓,,2015/7/22 下午 11:03:13,
愛兒診所,嘉義市,西區,西醫,23.4726726,120.4469454,23.4723218,120.4469945,05-2238233,嘉義市西區導明里民生南路45號1樓,,2015/7/22 下午 11:03:13,
吉祥醫美耳鼻喉科診所,嘉義市,西區,西醫,23.4678714,120.4396826,23.4678714,120.4396826,05-2352516,嘉義市西區福民里興業西路273號1樓,,2015/7/22 下午 11:03:13,
大佳診所,嘉義市,西區,西醫,23.468261,120.4402889,23.468261,120.4402889,05-2212345,嘉義市西區自強里新民路696號1樓,,2015/7/22 下午 11:03:13,
啟仁診所,嘉義市,西區,西醫,23.4781528,120.4412611,23.4769018,120.4401477,05-2257959,嘉義市西區書院里中山路610號1樓,,2015/7/22 下午 11:03:13,
洪培凱耳鼻喉科診所,嘉義市,西區,西醫,23.4661334,120.4401984,23.4663773,120.4402913,05-2866689,嘉義市西區美源里新民路632號1樓,,2015/7/22 下午 11:03:13,
施穎敏診所,嘉義市,西區,西醫,23.4683858,120.4445432,23.4684108,120.4446286,05-2840270,嘉義市西區美源里興業西路77號,,2015/7/22 下午 11:03:13,
新眼光眼科診所,嘉義市,西區,西醫,23.4684692,120.442252,23.4684692,120.442252,,嘉義市西區自強里興業西路134號1樓,,2015/7/22 下午 11:03:13,
承鴻診所,嘉義市,西區,西醫,23.4663702,120.436105,23.4663702,120.436105,05-2865669,嘉義市西區福民里南京路500號1樓,,2015/7/22 下午 11:03:13,
祐明眼科診所,嘉義市,西區,西醫,23.4806164,120.4340582,23.4804886,120.4340918,05-2333310,嘉義市西區福全里友愛路153號,,2015/7/22 下午 11:03:13,
周安良診所,嘉義市,西區,西醫,23.468705,120.4455321,23.468705,120.4455321,05-2230527,嘉義市西區致遠里興業西路28號1樓,,2015/7/22 下午 11:03:13,
博愛診所,嘉義市,西區,西醫,23.4682054,120.4422823,23.4684563,120.4421168,05-2866600,嘉義市西區自強里興業西路136號；138號1樓,,2015/7/22 下午 11:03:13,
玉山診所,嘉義市,西區,西醫,23.4604072,120.4435253,23.4640202,120.4465411,05-2361213,嘉義市西區光路里民生南路486號,,2015/7/22 下午 11:03:13,
黃思超小兒科診所,嘉義市,西區,西醫,23.4756085,120.4450166,23.4755961,120.4450806,05-2163232,嘉義市西區西榮里民族路632號1樓,,2015/7/22 下午 11:03:13,
于慶功診所,嘉義市,西區,西醫,23.4798146,120.4378911,23.4798146,120.4378911,05-2343000,嘉義市西區後驛里博愛路二段268號1樓,,2015/7/22 下午 11:03:13,
泓韋診所,嘉義市,西區,西醫,23.4676167,120.4337388,23.4676475,120.433594,05-2838811,嘉義市西區車店里上海路233號1樓,,2015/7/22 下午 11:03:13,
泓韋診所,嘉義市,西區,西醫,23.4803964,120.4242401,23.4755821,120.4448849,05-2230505,嘉義市西區西榮里15鄰民族路642號,,2015/7/22 下午 11:03:13,
長椿耳鼻喉科診所,嘉義市,西區,西醫,23.4683542,120.4442159,23.4683751,120.4442564,05-2289981,嘉義市西區致遠里興業西路86號,,2015/7/22 下午 11:03:13,
吳南逸診所,嘉義市,西區,西醫,23.468307,120.4433628,23.4682902,120.4433647,05-2232388,嘉義市西區翠岱里興業西路122-7號1樓,,2015/7/22 下午 11:03:13,
丞品內科診所,嘉義市,西區,西醫,23.4849588,120.4288762,23.4888777,120.4407394,05-2331182,嘉義市西區新厝里興達路102號,,2015/7/22 下午 11:03:13,
安馨嘉義內科診所,嘉義市,西區,西醫,23.4839171,120.4335004,23.4839171,120.4335004,05-2812525,嘉義市西區竹圍里友愛路239號1、2樓,,2015/7/22 下午 11:03:13,
巴黎雅診所,嘉義市,西區,西醫,23.4682321,120.4425656,23.4682522,120.4429646,05-2865555,嘉義市西區自強里興業西路128號1樓,,2015/7/22 下午 11:03:13,
明家眼科診所,嘉義市,西區,西醫,23.4762474,120.4422531,23.4762474,120.4422531,05-2282278,嘉義市西區書院里仁愛路482號2樓,,2015/7/22 下午 11:03:13,
永安診所,嘉義市,西區,西醫,23.4870312,120.4355469,23.4867354,120.436173,05-2320877,嘉義市西區保安里北興街406號,,2015/7/22 下午 11:03:13,
嘉祐耳鼻喉科診所,嘉義市,西區,西醫,23.4681966,120.4425489,23.4681338,120.4416871,05-2350860,嘉義市西區自強里興業西路156號,,2015/7/22 下午 11:03:13,
開心診所,嘉義市,西區,西醫,23.4721839,120.4267627,23.4722238,120.4245245,05-2357182,嘉義市西區磚磘里玉山路182號,,2015/7/22 下午 11:03:13,
民權診所,嘉義市,西區,西醫,23.4821286,120.4490564,23.482068,120.4487063,05-2252099,嘉義市西區國華里民權路385號1樓,,2015/7/22 下午 11:03:13,
家馨診所,嘉義市,西區,西醫,23.4754591,120.4425212,23.4754591,120.4425212,05-2251589,嘉義市西區書院里民族路732號,,2015/7/22 下午 11:03:13,
大田耳鼻喉科診所,嘉義市,西區,西醫,23.4542052,120.4415025,23.4561374,120.4435896,05-2840051,嘉義市西區湖內里民生南路684號,,2015/7/22 下午 11:03:13,
陳政康診所,嘉義市,西區,西醫,23.4684904,120.4452926,23.4684552,120.4450991,05-2714002,嘉義市西區致遠里興業西路36號,,2015/7/22 下午 11:03:13,
大仁診所,嘉義市,西區,西醫,23.4756231,120.4441905,23.4756231,120.4441905,05-2282666,嘉義市西區書院里1鄰民族路666號,,2015/7/22 下午 11:03:13,
保安診所,嘉義市,西區,西醫,23.4718629,120.4398724,23.4718629,120.4398724,05-2862219,嘉義市西區垂楊里新民路852號1樓,,2015/7/22 下午 11:03:13,
陳伯卿眼科診所,嘉義市,西區,西醫,23.482925,120.4407588,23.482925,120.4407588,05 2310716,嘉義市西區後驛里博愛路二段66號,,2015/7/22 下午 11:03:13,
仁愛神經內科診所,嘉義市,西區,西醫,23.475159,120.442214,23.4751585,120.4422141,05 2253700,嘉義市西區永和里仁愛路355號,,2015/7/22 下午 11:03:13,
真善渼診所,嘉義市,西區,西醫,23.475582,120.444885,23.4755821,120.4448849,05 2230505,嘉義市西區西榮里民族路642號,,2015/7/22 下午 11:03:13,
程忠誠診所,嘉義市,西區,西醫,23.474686,120.4447,23.4746855,120.4446995,05 2293068,嘉義市西區新富里新榮路70號,,2015/7/22 下午 11:03:13,
賴大川診所,嘉義市,西區,西醫,23.480174,120.445041,23.4801739,120.4450414,05 2234511,嘉義市西區番社里西榮街241號,,2015/7/22 下午 11:03:13,
聖心診所,嘉義市,東區,西醫,23.4823165,120.4501609,23.4823957,120.4505352,05-2224800,嘉義市東區中央里民權路367號一樓,,2015/7/22 下午 11:03:13,
東門王耳鼻喉科診所,嘉義市,東區,西醫,23.480228,120.4562541,23.480228,120.4562541,05-2276563,嘉義市東區華南里公明路131號1樓,,2015/7/22 下午 11:03:13,
立文小兒科診所,嘉義市,東區,西醫,23.4960216,120.4535317,23.4953754,120.4553192,05-2766286,嘉義市東區頂庄里新生路782號1、2樓,,2015/7/22 下午 11:03:13,
許永福小兒科診所,嘉義市,東區,西醫,23.4749816,120.4599363,23.4749816,120.4599363,05-2783058,嘉義市東區朝陽里垂楊路46號,,2015/7/22 下午 11:03:13,
台大風尚皮膚科診所,嘉義市,東區,西醫,23.4927825,120.457752,23.4930182,120.457569,05-2711711,嘉義市東區太平里新生路612號1樓,,2015/7/22 下午 11:03:13,
和平眼科診所,嘉義市,東區,西醫,23.4825007,120.4560776,23.4823992,120.4561122,05-2255561,嘉義市東區中山里和平路325號,,2015/7/22 下午 11:03:13,
丁效曾整形外科診所,嘉義市,東區,西醫,23.4809274,120.4519959,23.480839,120.4519162,05-2222188,嘉義市東區中央里中山路229號、231號1、2樓,,2015/7/22 下午 11:03:13,
邱晉陽診所,嘉義市,東區,西醫,23.4830986,120.4524004,23.4832512,120.4524932,05-2751973,嘉義市東區北門里吳鳳北路280號,,2015/7/22 下午 11:03:13,
羅大德診所,嘉義市,東區,西醫,23.4925333,120.4577674,23.492494,120.457918,05-2788297,嘉義市東區太平里新生路588號1、2樓,,2015/7/22 下午 11:03:13,
嘉亮眼科診所,嘉義市,東區,西醫,23.4805316,120.4510152,23.480546,120.4487562,05-2276969,嘉義市東區仁和里中山路236號1-3樓,,2015/7/22 下午 11:03:13,
向光眼科診所,嘉義市,東區,西醫,23.4768268,120.4589215,23.47681,120.4589231,05-2788358,嘉義市東區華南里民族路114號1樓,,2015/7/22 下午 11:03:13,
楊澍青診所,嘉義市,東區,西醫,23.4835943,120.4582371,23.48368,120.458071,05-2776001,嘉義市東區太平里民權路110號1樓,,2015/7/22 下午 11:03:13,
新恩診所,嘉義市,東區,西醫,23.4844364,120.4607759,23.487365,120.4602396,05-2777937,嘉義市東區太平里新生路357號1樓；359號1、2樓,,2015/7/22 下午 11:03:13,
滿溢小兒科診所,嘉義市,東區,西醫,23.4745127,120.4583527,23.474682,120.4585422,05-2767757,嘉義市東區朝陽里垂楊路104號1樓,,2015/7/22 下午 11:03:13,
軍輝耳鼻喉科診所,嘉義市,東區,西醫,23.455633,120.459801,23.455633,120.459801,05-2301616,嘉義市東區興仁里軍輝路198號1樓,,2015/7/22 下午 11:03:13,
維欣醫美診所,嘉義市,東區,西醫,23.4842287,120.4583826,23.485467,120.4558563,05-2715789,嘉義市東區太平里民權路108號2樓,,2015/7/22 下午 11:03:13,
賴瑪莉診所,嘉義市,東區,西醫,23.4858752,120.4606009,23.4830737,120.4609772,05-2741234,嘉義市東區中山里新生路313號1樓,,2015/7/22 下午 11:03:13,
黃靖修內科診所,嘉義市,東區,西醫,23.4842545,120.4520916,23.4842545,120.4520916,05-2776108,嘉義市東區北門里吳鳳北路389號1樓,,2015/7/22 下午 11:03:13,
劉怡慧皮膚科診所,嘉義市,東區,西醫,23.4566707,120.458872,23.4566707,120.458872,05-2393388,嘉義市東區興仁里吳鳳南路577號1樓,,2015/7/22 下午 11:03:13,
林育興耳鼻喉科診所,嘉義市,東區,西醫,23.4766182,120.4566234,23.4767561,120.4567414,05-2288568,嘉義市東區華南里民族路200號,,2015/7/22 下午 11:03:13,
福康診所,嘉義市,東區,西醫,23.49466,120.4562733,23.4946705,120.4562882,05-2715688,嘉義市東區頂庄里新生路683號1、2樓,,2015/7/22 下午 11:03:13,
周裕軒身心醫學診所,嘉義市,東區,西醫,23.4805874,120.4528276,23.4807361,120.4539466,05-2229823,嘉義市東區東興里民樂街141號1樓,,2015/7/22 下午 11:03:13,
禾宜婦幼診所,嘉義市,東區,西醫,23.484539,120.4495384,23.4845541,120.4497543,05-2769449,嘉義市東區北門里林森西路95號,,2015/7/22 下午 11:03:13,
廖學儒耳鼻喉科診所,嘉義市,東區,西醫,23.481872,120.4578319,23.4821925,120.4592558,05-2779070,嘉義市東區中山里中山路84號,,2015/7/22 下午 11:03:13,
尚美整形外科診所,嘉義市,東區,西醫,23.4803205,120.4510933,23.4808268,120.4509159,05-228-0096,嘉義市東區中央里興中街145號1樓及2樓,,2015/7/22 下午 11:03:13,
洪文泓診所,嘉義市,東區,西醫,23.4914451,120.4697795,23.4914451,120.4697795,05-2766266,嘉義市東區圳頭里林森東路470巷6號,,2015/7/22 下午 11:03:13,
怡康診所,嘉義市,東區,西醫,23.491986,120.470812,23.491986,120.470812,05-2770236,嘉義市東區圳頭里林森東路496號,,2015/7/22 下午 11:03:13,
蕭正誠診所,嘉義市,東區,西醫,23.4808817,120.4615639,23.480975,120.4609514,05-2788938,嘉義市東區東興里公明路34號之4,,2015/7/22 下午 11:03:13,
祐健診所,嘉義市,東區,西醫,23.4770482,120.4617686,23.4769973,120.4610407,05-2233438,嘉義市東區民族里民族路268巷7號3樓,,2015/7/22 下午 11:03:13,
